area,prefecture,population
Waco,Texas,192315
Salinas,California,190972
Waterbury,Connecticut,189614
Clarksville,Tennessee,188746
Cedar Rapids,Iowa,188038
Sioux Falls,South Dakota,187239
Huntington,West Virginia,186034
Ontario,California,185010
Hagerstown,Maryland,184755
Erie,Pennsylvania,184484
Vancouver,Washington,184463
Nampa,Idaho,184428
Spartanburg,South Carolina,182701
Gastonia,North Carolina,182581
Fort Lauderdale,Florida,182437
Lorain,Ohio,180279
Murfreesboro,Tennessee,179951
High Point,North Carolina,179913
Newport News,Virginia,179225
Rancho Cucamonga,California,177603
Hemet,California,177253
Santa Cruz,California,176428
Danbury,Connecticut,176030
Peoria,Arizona,175961
Oceanside,California,175742
Elk Grove,California,174775
Pembroke Pines,Florida,173591
Vallejo,California,173256
Garden Grove,California,171644
Enterprise,Nevada,171108
Medford,Oregon,170876
Cary,North Carolina,170282
Marysville,Washington,170009
Corona,California,169868
Ocala,Florida,169383
Fredericksburg,Virginia,168909
Gainesville,Georgia,167371
Manchester,New Hampshire,162877
Bayam?n,Puerto Rico,161034
Champaign,Illinois,159443
Alexandria,Virginia,159428
Hayward,California,159203
Springfield,Illinois,158509
Lakewood,Colorado,157935
Lafayette,Indiana,157820
Frederick,Maryland,156787
Lake Charles,Louisiana,156181
Odessa,Texas,155998
Tuscaloosa,Alabama,155499
Warner Robins,Georgia,155140
Palmdale,California,155079
Hollywood,Florida,154817
Midland,Texas,154793
Leesburg,Florida,154574
Port Arthur,Texas,154468
Muskegon,Michigan,153565
Macon,Georgia,153159
Kansas City,Kansas,152960
Sunnyvale,California,152703
Pomona,California,151691
Escondido,California,151625
Pasadena,Texas,151227
New Bedford,Massachusetts,149910
Fairfield,California,148683
Naperville,Illinois,148449
Bellevue,Washington,148164
Binghamton,New York,148145
Elkhart,Indiana,147567
Topeka,Kansas,147458
Joliet,Illinois,147344
Beaumont,Texas,146091
Paterson,New Jersey,145233
Merced,California,145149
Pueblo,Colorado,143932
Tyler,Texas,143796
Torrance,California,143592
Yuma,Arizona,142847
Metairie,Louisiana,142135
Surprise,Arizona,141664
Columbia,Missouri,141645
Athens,Georgia,141532
Roseville,California,141500
Thornton,Colorado,141464
Miramar,Florida,141191
Pasadena,California,141029
Mesquite,Texas,140937
Olathe,Kansas,140545
Santa Maria,California,140545
Houma,Louisiana,140469
Carrollton,Texas,139248
Grand Junction,Colorado,139143
Charleston,West Virginia,138706
Orange,California,138669
Fullerton,California,138632
Greeley,Colorado,137810
Carolina,Puerto Rico,136771
Las Cruces,New Mexico,136254
Panama City,Florida,136133
Harlingen,Texas,136037
West Valley City,Utah,135248
Hampton,Virginia,134510
Warren,Michigan,133943
Mauldin,South Carolina,133872
Bloomington,Illinois,133846
Coral Springs,Florida,133759
Round Rock,Texas,133372
Yakima,Washington,133191
Sterling Heights,Michigan,132438
Kent,Washington,132319
Burlington,North Carolina,131043
Bellingham,Washington,130641
Santa Clara,California,130365
Racine,Wisconsin,130142
Greenville,North Carolina,130118
Stamford,Connecticut,129638
Elizabeth,New Jersey,129216
Johnson City,Tennessee,127571
Lynchburg,Virginia,126814
Simi Valley,California,126589
Fort Smith,Arkansas,125354
Kenosha,Wisconsin,124972
Norman,Oklahoma,124880
South Lyon,Michigan,124694
Boulder,Colorado,124345
Abilene,Texas,123420
Lehigh Acres,Florida,123378
Pearland,Texas,122460
Berkeley,California,121363
Richardson,Texas,121323
Redding,California,121313
Arvada,Colorado,121272
East Los Angeles,California,121187
St. George,Utah,120899
Billings,Montana,120728
Yuba City,California,120456
Rochester,Minnesota,119942
Leominster,Massachusetts,119690
Kingsport,Tennessee,119666
Duluth,Minnesota,119476
Rock Hill,South Carolina,119105
Gilroy,California,118993
Cambridge,Massachusetts,118927
Sugar Land,Texas,118488
Texas City,Texas,118169
Iowa City,Iowa,118041
Saginaw,Michigan,117958
Chico,California,117668
Dover,Delaware,117282
Clearwater,Florida,116946
Coeur d'Alene,Idaho,116834
Seaside,California,116720
Independence,Missouri,116672
West Jordan,Utah,116480
Brandon,Florida,115911
Bloomington,Indiana,115884
El Monte,California,115487
North Charleston,South Carolina,115382
Carlsbad,California,115382
St. Cloud,Minnesota,115028
Temecula,California,114761
Clovis,California,114584
Meridian,Idaho,114161
The Woodlands,Texas,113819
Ponce,Puerto Rico,113401
Westminster,Colorado,113166
Costa Mesa,California,113003
Monroe,Louisiana,112891
Utica,New York,112650
Pompano Beach,Florida,112118
West Palm Beach,Florida,111955
Waterloo,Iowa,111631
Everett,Washington,111475
El Centro,California,111425
Santa Fe,New Mexico,111269
Downey,California,111126
Spring Hill,Florida,111076
Lowell,Massachusetts,110997
Centennial,Colorado,110937
Elgin,Illinois,110849
Richmond,California,110567
Broken Arrow,Oklahoma,110198
Miami Gardens,Florida,110001
Bend,Oregon,109802
Burlington,Vermont,109763
Jurupa Valley,California,109527
Sandy Springs,Georgia,109452
Gresham,Oregon,109381
Lewisville,Texas,109212
Hillsboro,Oregon,109128
San Buenaventura,California,109106
